step,v1,v2,v3,v4,v5,v6,T1,T2,T3,T4,T5,T6,Tout
0,-0.7720993423359312,0.7982771007800626,0.6446911296377877,0.3547073343288796,-0.010036016568714778,0.6918989895693162,22.302378653681956,18.474523118628632,25.76024834540593,25.039246371319855,27.118884506068937,16.387241274737903,-17.341666666666537
2,-0.7720993423359312,0.7982771007800626,0.6446911296377877,0.3547073343288796,-0.010036016568714778,0.6918989895693162,20.97934221341187,19.60440359486843,25.517000625617516,24.316163587591955,25.362639680787616,16.739062892403147,-17.398333333333152
4,-0.7720993423359312,0.7982771007800626,0.6446911296377877,0.3547073343288796,-0.010036016568714778,0.6918989895693162,20.020814975399784,20.330344712418643,25.2972123115587,23.659031578490573,24.034879697592235,17.127698494428703,-17.51166666666677
7,-0.7720993423359312,0.7982771007800626,0.6446911296377877,0.3547073343288796,-0.010036016568714778,0.6918989895693162,19.011935254678733,20.927749639161654,24.998692105782375,22.81366943623839,22.59610043794055,17.30835325868089,-17.540000000000077
9,-0.7720993423359312,0.7982771007800626,0.6446911296377877,0.3547073343288796,-0.010036016568714778,0.6918989895693162,18.757863657555554,21.042726028227293,24.907573278139814,22.346553365113753,21.898914862781748,17.451222646656383,-17.596666666666692
10,-0.7720993423359312,0.7982771007800626,0.6446911296377877,0.3547073343288796,-0.010036016568714778,0.6918989895693162,18.33101496952266,21.225224596564708,24.65439224991292,21.94474859147395,21.346034276184174,17.553289192747577,-17.653333333333308
13,-0.7720993423359312,0.7982771007800626,0.6446911296377877,0.3547073343288796,-0.010036016568714778,0.6918989895693162,17.990018659772975,21.246914855760586,24.575799131092637,21.76568204836078,20.899819248868116,17.621058902408393,-17.709999999999923
14,-0.7720993423359312,0.7982771007800626,0.6446911296377877,0.3547073343288796,-0.010036016568714778,0.6918989895693162,17.840139086803717,21.253952058253642,24.49934297781671,21.44943927277217,20.714350513621696,17.654193945843357,-17.73833333333323
15,0.2506028430640612,-0.4387865346502473,-0.7551368952218582,0.9636725245801137,-0.48718365968577837,-0.49759089411606694,17.712867861201605,20.153644946971376,22.519366271049137,21.830624396951677,19.911865265479623,17.42569189241641,-17.766666666666538
17,0.2506028430640612,-0.4387865346502473,-0.7551368952218582,0.9636725245801137,-0.48718365968577837,-0.49759089411606694,18.850032510474726,19.178836985754103,20.86975775418757,22.3464917723187,18.56400833148334,16.97259979331443,-17.823333333333153
18,0.2506028430640612,-0.4387865346502473,-0.7551368952218582,0.9636725245801137,-0.48718365968577837,-0.49759089411606694,19.173971918795324,18.304237541648096,19.43167680364212,22.3464917723187,18.56400833148334,16.749124435853943,-17.85166666666646
19,0.2506028430640612,-0.4387865346502473,-0.7551368952218582,0.9636725245801137,-0.48718365968577837,-0.49759089411606694,19.382705216874914,17.5228682633693,18.176942831499677,22.501853185850532,17.990061055510395,16.522396171633652,-17.879999999999768
20,0.2506028430640612,-0.4387865346502473,-0.7551368952218582,0.9636725245801137,-0.48718365968577837,-0.49759089411606694,19.528436796523707,16.171253281751376,16.09295142948018,22.647766985411664,16.98017558464915,16.299909505566127,-17.908333333333463
22,0.2506028430640612,-0.4387865346502473,-0.7551368952218582,0.9636725245801137,-0.48718365968577837,-0.49759089411606694,19.507029562377028,15.589837865770534,15.228870605608622,22.633280163675874,16.128672659525378,15.87586435887318,-17.965000000000074
23,0.2506028430640612,-0.4387865346502473,-0.7551368952218582,0.9636725245801137,-0.48718365968577837,-0.49759089411606694,19.33177668885902,14.56538687375799,13.762785773346563,22.575565729353738,15.73535865881896,15.65942489403719,-18.02166666666669
25,0.2506028430640612,-0.4387865346502473,-0.7551368952218582,0.9636725245801137,-0.48718365968577837,-0.49759089411606694,19.037847478520707,13.687574680740621,12.566296659652263,22.39190468042734,14.689086609391715,15.043187771470691,-18.078333333333305
27,0.2506028430640612,-0.4387865346502473,-0.7551368952218582,0.9636725245801137,-0.48718365968577837,-0.49759089411606694,18.47768229215186,12.575478861636372,11.129149700561712,21.991357250477797,14.062378843539426,14.644121389883408,-18.163333333333227
30,-0.08315971328288496,-0.014848030931890133,-0.8640627613931406,0.3932001565077792,-0.7065852436323643,-0.9502517645741551,17.80021533424099,11.934261281583463,10.34048150998024,21.667293892341565,13.47964482703008,13.976374422996404,-18.219999999999843
33,-0.08315971328288496,-0.014848030931890133,-0.8640627613931406,0.3932001565077792,-0.7065852436323643,-0.9502517645741551,16.93483408392938,12.006950525596828,9.35293373204325,20.33667344284628,11.826868617986904,13.413581921172845,-18.276666666666458
34,-0.08315971328288496,-0.014848030931890133,-0.8640627613931406,0.3932001565077792,-0.7065852436323643,-0.9502517645741551,16.121644958657654,11.885793363642687,8.43756713665518,19.165158387802563,11.333490799440415,13.14129080431999,-18.304999999999765
36,-0.08315971328288496,-0.014848030931890133,-0.8640627613931406,0.3932001565077792,-0.7065852436323643,-0.9502517645741551,15.357909611926967,11.642320732196854,7.595658551645134,18.124427121652616,10.394791925071083,12.594337671759803,-18.361666666666768
38,-0.08315971328288496,-0.014848030931890133,-0.8640627613931406,0.3932001565077792,-0.7065852436323643,-0.9502517645741551,14.998888413505918,11.326754218984705,6.828320217762173,17.195689665297653,9.53824065756216,12.072009131677692,-18.418333333333383
40,-0.08315971328288496,-0.014848030931890133,-0.8640627613931406,0.3932001565077792,-0.7065852436323643,-0.9502517645741551,14.300251288103237,11.145165904070712,6.461580824430377,16.763993999770165,8.723484169676988,11.551669714487893,-18.474999999999998
41,-0.08315971328288496,-0.014848030931890133,-0.8640627613931406,0.3932001565077792,-0.7065852436323643,-0.9502517645741551,13.62487533549461,10.520811806344298,5.395428589684003,15.563871146605557,7.9552142257493506,11.044861664015801,-18.531666666666613
44,-0.08315971328288496,-0.014848030931890133,-0.8640627613931406,0.3932001565077792,-0.7065852436323643,-0.9502517645741551,12.981681684042801,10.088096495302942,4.749846675402284,14.846001187402269,7.239575301793421,10.562092107499724,-18.588333333333228
46,-0.08315971328288496,-0.014848030931890133,-0.8640627613931406,0.3932001565077792,-0.7065852436323643,-0.9502517645741551,12.371727346040243,9.862060363235662,4.431525451018208,14.50268675982404,6.556175095519324,10.091547766787087,-18.644999999999843
47,-0.08315971328288496,-0.014848030931890133,-0.8640627613931406,0.3932001565077792,-0.7065852436323643,-0.9502517645741551,11.802107891506186,9.432904203743904,3.8561931555168822,13.867309612994164,6.246050357658383,9.649023868485765,-18.70166666666646
49,-0.08315971328288496,-0.014848030931890133,-0.8640627613931406,0.3932001565077792,-0.7065852436323643,-0.9502517645741551,11.248294448294951,8.992956632805646,3.291721734334108,13.264896341895527,5.620103539290676,9.437299996084938,-18.729999999999766
51,-0.08315971328288496,-0.014848030931890133,-0.8640627613931406,0.3932001565077792,-0.7065852436323643,-0.9502517645741551,10.977123038380117,8.770987338786467,3.0139191961211536,12.974508457093153,5.313380570421309,9.219799416796993,-18.75833333333346
52,-0.08315971328288496,-0.014848030931890133,-0.8640627613931406,0.3932001565077792,-0.7065852436323643,-0.9502517645741551,10.708322237181923,8.547073393527617,2.737288536414048,12.689455379053777,5.0089922677445085,9.002667841207522,-18.78666666666677
53,-0.08315971328288496,-0.014848030931890133,-0.8640627613931406,0.3932001565077792,-0.7065852436323643,-0.9502517645741551,10.436182211471298,8.31521389481919,2.207681121830607,12.14294347556606,4.424123023783038,8.582874161078147,-18.843333333333383
55,-0.08315971328288496,-0.014848030931890133,-0.8640627613931406,0.3932001565077792,-0.7065852436323643,-0.9502517645741551,9.936888620898833,7.893420989784806,1.9518124488292061,11.880279672107458,4.141327546212942,8.178026659639073,-18.9
56,-0.08315971328288496,-0.014848030931890133,-0.8640627613931406,0.3932001565077792,-0.7065852436323643,-0.9502517645741551,9.68952519632275,7.680298345081146,1.700668618137554,11.372293374520197,3.591104736156262,7.98014086979998,-18.918333333333315
